model,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1
BiLSTM,1.0,1.0,1.0,1.0,1.0
DistilBERT,0.9943181818181818,0.9945945945945945,0.9939393939393939,0.9941833508956798,0.9943133920873648
TextCNN,0.9829545454545454,0.9836336336336335,0.9828282828282828,0.982995064403515,0.9830286546395701
